GP_PRACTICE_CODE,POSTCODE,CCG_CODE,NHSE_AREA_TEAM_CODE,NHSE_REGION_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALES
A81001,TS18 1HU,00K,Q45,Y54,4182,2045,2137
A81002,TS18 2AW,00K,Q45,Y54,19554,9645,9909
A81003,TS26 8DB,00K,Q45,Y54,3485,1834,1651
A81004,TS1 3BE,00M,Q45,Y54,8971,4621,4350
A81005,TS14 7DJ,00M,Q45,Y54,7947,3867,4080
A81006,TS18 2AT,00K,Q45,Y54,12289,5974,6315
A81007,TS24 7PW,00K,Q45,Y54,9490,4644,4846
A81008,TS6 6TD,00M,Q45,Y54,4143,2140,2003
A81009,TS5 6HF,00M,Q45,Y54,9266,4562,4704
A81011,TS24 7PW,00K,Q45,Y54,11209,5480,5729
A81012,TS3 6AL,00M,Q45,Y54,4692,2445,2247
A81013,TS12 2FF,00M,Q45,Y54,5974,2999,2975
A81014,TS23 2LA,00K,Q45,Y54,3801,1852,1949
A81015,TS10 1TZ,00M,Q45,Y54,2948,1437,1511
A81016,TS1 3QY,00M,Q45,Y54,9517,4927,4590
A81017,TS17 0EE,00K,Q45,Y54,21259,10417,10842
A81018,TS10 4NW,00M,Q45,Y54,5389,2805,2584
A81019,TS3 7RL,00M,Q45,Y54,10572,5077,5495
A81020,TS4 3BU,00M,Q45,Y54,7951,3889,4062
A81021,TS6 6TD,00M,Q45,Y54,13395,6543,6852
A81022,TS12 2TG,00M,Q45,Y54,10699,5300,5399
A81023,TS1 2NX,00M,Q45,Y54,7694,3955,3739
A81025,TS18 1HU,00K,Q45,Y54,4214,2115,2099
A81026,TS5 6HA,00M,Q45,Y54,13706,6840,6866
A81027,TS15 9DD,00K,Q45,Y54,12894,6351,6543
A81029,TS1 2NX,00M,Q45,Y54,5803,3196,2607
A81030,TS1 3RY,00M,Q45,Y54,11757,5838,5919
A81031,TS24 7PW,00K,Q45,Y54,12700,6178,6522
A81032,TS14 7DJ,00M,Q45,Y54,10488,5132,5356
A81033,TS3 6AL,00M,Q45,Y54,3516,1930,1586
A81034,TS17 0EE,00K,Q45,Y54,21652,10812,10840
A81035,TS1 3RX,00M,Q45,Y54,10712,5444,5268
A81036,TS20 2UZ,00K,Q45,Y54,17213,8344,8869
A81037,TS1 2NX,00M,Q45,Y54,7224,3775,3449
A81038,TS3 6AL,00M,Q45,Y54,3340,1703,1637
A81039,TS16 9EA,00K,Q45,Y54,8907,4385,4522
A81040,TS23 2DG,00K,Q45,Y54,8554,4267,4287
A81041,TS24 9DN,00K,Q45,Y54,9108,4581,4527
A81042,TS6 9QG,00M,Q45,Y54,5956,2919,3037
A81043,TS6 0HA,00M,Q45,Y54,7983,3882,4101
A81044,TS25 1QU,00K,Q45,Y54,14220,7017,7203
A81045,TS10 1SR,00M,Q45,Y54,7528,3613,3915
A81046,TS18 1YE,00K,Q45,Y54,12943,6397,6546
A81047,TS11 6BW,00M,Q45,Y54,5742,2762,2980
A81048,TS11 7BL,00M,Q45,Y54,5023,2504,2519
A81049,TS3 6AL,00M,Q45,Y54,5410,2681,2729
A81051,TS5 5NN,00M,Q45,Y54,7448,3590,3858
A81052,TS10 4NW,00M,Q45,Y54,7256,3600,3656
A81053,TS13 4HW,00M,Q45,Y54,6628,3372,3256
A81054,TS10 1UA,00M,Q45,Y54,7915,3908,4007
A81056,TS23 2JW,00K,Q45,Y54,2577,1315,1262
A81057,TS23 2LS,00K,Q45,Y54,8677,4083,4594
A81058,TS8 0TL,00M,Q45,Y54,7482,3487,3995
A81060,TS26 8DB,00K,Q45,Y54,5314,2582,2732
A81063,TS24 0NZ,00K,Q45,Y54,5349,2797,2552
A81064,TS1 2NX,00M,Q45,Y54,6197,3201,2996
A81065,TS6 6TD,00M,Q45,Y54,3325,1730,1595
A81066,TS21 1JS,00K,Q45,Y54,4189,2082,2107
A81067,TS18 2BP,00K,Q45,Y54,10104,4995,5109
A81069,TS10 4NW,00M,Q45,Y54,1590,876,714
A81070,TS25 3DQ,00K,Q45,Y54,1966,1033,933
A81602,TS23 2DG,00K,Q45,Y54,2531,1292,1239
A81605,TS10 3LA,00M,Q45,Y54,2391,1173,1218
A81608,TS17 6NP,00K,Q45,Y54,2548,1289,1259
A81609,TS18 2EP,00K,Q45,Y54,1430,804,626
A81610,TS23 2DG,00K,Q45,Y54,8333,4013,4320
A81611,TS8 0TL,00M,Q45,Y54,4997,2453,2544
A81612,TS25 1AX,00K,Q45,Y54,2969,1499,1470
A81613,TS26 8DB,00K,Q45,Y54,3351,1670,1681
A81618,TS12 1BJ,00M,Q45,Y54,7545,3683,3862
A81621,TS3 9NB,00M,Q45,Y54,2266,1138,1128
A81622,TS26 8DD,00K,Q45,Y54,5173,2620,2553
A81623,TS18 2EP,00K,Q45,Y54,1620,868,752
A81629,TS18 2AP,00K,Q45,Y54,3870,2005,1865
A81630,TS5 4EQ,00M,Q45,Y54,740,552,188
A81631,TS24 9LJ,00K,Q45,Y54,6375,3123,3252
A81632,TS18 1HU,00K,Q45,Y54,708,556,152
A81633,TS1 5EF,00M,Q45,Y54,633,397,236
A81634,TS18 2EP,00K,Q45,Y54,1347,801,546
A82003,LA12 7BT,01H,Q49,Y54,10625,5249,5376
A82004,CA9 3QX,01H,Q49,Y54,2327,1161,1166
A82005,LA22 9BP,01H,Q49,Y54,5082,2632,2450
A82006,CA16 6QR,01H,Q49,Y54,4847,2421,2426
A82007,LA14 1LF,01H,Q49,Y54,9371,4708,4663
A82008,LA14 5ES,01H,Q49,Y54,11089,5533,5556
A82009,LA13 9SH,01H,Q49,Y54,8773,4293,4480
A82010,LA14 5JY,01H,Q49,Y54,6511,3109,3402
A82011,LA14 5SL,01H,Q49,Y54,2645,1363,1282
A82012,CA8 1NL,01H,Q49,Y54,15237,7465,7772
A82013,CA17 4RB,01H,Q49,Y54,6688,3350,3338
A82014,CA7 8DS,01H,Q49,Y54,4337,2189,2148
A82015,CA1 1EB,01H,Q49,Y54,5938,3078,2860
A82016,CA1 1DG,01H,Q49,Y54,14376,7144,7232
A82017,CA1 1ED,01H,Q49,Y54,14678,7213,7465
A82018,CA1 1BP,01H,Q49,Y54,11676,5721,5955
A82019,CA1 2HE,01H,Q49,Y54,8203,3842,4361
A82020,CA2 7AJ,01H,Q49,Y54,14615,7105,7510
A82021,CA13 9HT,01H,Q49,Y54,10426,5156,5270
A82022,CA5 7PZ,01H,Q49,Y54,5095,2602,2493
A82023,CA14 5UR,01H,Q49,Y54,3808,1907,1901
A82024,CA20 1PN,01H,Q49,Y54,5619,2835,2784
A82025,LA9 4JE,01H,Q49,Y54,9299,4605,4694
A82026,LA9 7HR,01H,Q49,Y54,16076,7764,8312
A82027,LA9 6SA,01H,Q49,Y54,11062,5508,5554
A82028,CA12 4DB,01H,Q49,Y54,6464,3170,3294
A82029,CA7 5JH,01H,Q49,Y54,3361,1696,1665
A82030,LA6 2HQ,01H,Q49,Y54,5950,2888,3062
